Rank,Club,WRs
1,Atletismo Castellonense,52
2,MotorGelbforst,34
3,Atletica MC,33
4,Running Gag,17
5,Lupus in fabula Track & F...,16
6,Dynamo Päpste,15
7,TSG Concordia Schönkirche...,14
8,Diavoli Rossi,13
8,Houston Rockets,13
8,sprinterteam,13
8,Trambolhao A C,13
12,"Associazione sportiva ""Vi...",11
12,Egaleo City Predators,11
12,Entre Arena y Espuma,11
12,Hell`s Angels,11
12,Sporting Olomouc,11
17,Atletica Corti e Veloci,10
17,Cus Torino,10
17,Indomables,10
20,Les baguettes,9
20,SC Nord,9
20,Unione Sportiva Fermana,9
23,aspes,8
23,Ballyfin,8
23,El Caim,8
26,Alkoolika Remalia,7
26,Ciddafazzu,7
26,Cul club,7
29,Athletic Passion,6
29,Deds,6
29,Deus Sive Natura,6
29,Fenice,6
29,Guanacos,6
29,olimpia,6
29,Poststrutturalista Fallit...,6
29,Swissbartli AC,6
29,Upol Gavirate,6
38,Anannasavanna Team,5
38,Antequera,5
38,Atletica FVG,5
38,Atletica Sovereign,5
38,Koninklijke Atletiek Asso...,5
38,LG Potsdam,5
38,Munich Running Club,5
38,OSC Bernsdorf,5
38,Rotten Athletic,5
38,San Varano,5
38,TuS Erbse,5
49,AC MegaSpike,4
49,All speed,4
49,Angers club,4
49,ASC Sprint,4
49,Atletica Certosa,4
49,AV Mythology,4
49,AV Parthenon,4
49,Gamila,4
49,Società Atletica Pellethi...,4
49,Team 013,4
49,Wizkids,4
60,Adrenaline Rush,3
60,Albatros,3
60,Askatasuna,3
60,Athletic club Azzurra Nap...,3
60,AV de sprinters,3
60,Calabria,3
60,Can-E-Club,3
60,Csibe`s Athletics,3
60,Ermis,3
60,Mikele,3
60,Mykonaikos,3
60,Nextnet Arad,3
60,Psomiadis,3
60,Runners 4life,3
60,Saskatchewan Sasquatchs,3
60,SexyPistols,3
60,Tnu,3
77,Almería Athletics,2
77,AS Theotime,2
77,Astoria Troy Walbrzych,2
77,Atletica Virtuosi Portici,2
77,AV Heracles Holten,2
77,AV Hoogeveen,2
77,Birds of Prey,2
77,boktorense,2
77,Burgos Athletics,2
77,Ca Ossi,2
77,Caim,2
77,Consentia,2
77,erki c.a.,2
77,Floppzzy Returns,2
77,Flying Borzakovskis,2
77,Gardencity Boys,2
77,Haliaballes,2
77,hans a rohrstock,2
77,Health Net,2
77,Hervas Team,2
77,I biancoverdi,2
77,Lokomotiv Cinecittà,2
77,Macanudos AC,2
77,Mdex Team,2
77,Miogni Athletic Club,2
77,Nuova Rieti 2012,2
77,Poseidon,2
77,Spartacus Sophia,2
77,Squadra Rossa,2
77,Ste-Gemmes,2
77,Txuario,2
77,Western Winds,2
77,Yato United,2
77,Zorros Run,2
111,AC Litrpůl,1
111,Apex Athletics,1
111,ASD CorriCorri,1
111,atl giglio d'oro,1
111,Atletica Buonappetito,1
111,Atletico Soleo,1
111,Atpkerry,1
111,ATV dn Durpsgek,1
111,Aubenas AC,1
111,Blue Ridge RC,1
111,Brabantse Trots,1
111,Brianza Team,1
111,Campidoglio Palatino,1
111,Castello CA,1
111,Cramelan,1
111,cristi1595,1
111,Desportivo Evolução,1
111,Electronica Rato,1
111,Fairfield Flyers,1
111,Flying M Athletic Club,1
111,Fob Mc,1
111,Fredje Bono Atletiek,1
111,Gabi Club,1
111,Gargiullo,1
111,GatPact,1
111,GP flucc,1
111,Graffiti,1
111,graviteu,1
111,Gromits 2.0,1
111,Horsham Sports Club,1
111,Kerkyraikos,1
111,Labaro,1
111,LC Uffikon,1
111,Les Galopeurs,1
111,Loughborough Harriers,1
111,Lyon AC,1
111,Mad Clopoyaurs,1
111,Memento,1
111,Mercure,1
111,Millevaches,1
111,Nacateam,1
111,Negros Celestes AC,1
111,orkan,1
111,Pixar Gdansk,1
111,Polisportiva Besanese,1
111,PoLLiCe VeRDe,1
111,Psv Lgs,1
111,PV Soldiers,1
111,Quedas Atlético,1
111,Running Zaragoza,1
111,S.G.P.,1
111,Sants,1
111,SC Olympia Lorsch 1907,1
111,Sem limites,1
111,Ser Caxias,1
111,SG Legio Lipsensia,1
111,Siara Team,1
111,Silkeborg AK,1
111,Tango 93 Crew,1
111,Torregaveta,1
111,Uglo,1
111,Usain Bolt,1
111,West Lakes TC,1
111,Ykv,1
,Unknown,51
